Name: triangle.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: left | Animation: Rotate | Speed: Quickly | Background Color: (139, 0, 139)
Name: polygon.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: star.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: Rotate | Speed: Moderately | Background Color: (139, 0, 139)
Name: circle.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: left | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: target.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: Rotate | Speed: Slowly | Background Color: (139, 0, 139)
Name: hexagons_3.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: simple_bird.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: left | Animation: Move | Speed: Quickly | Background Color: (139, 0, 139)
Name: sad_face.jpeg | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: random_polygons_2.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: Move | Speed: Moderately | Background Color: (139, 0, 139)
Name: smiley-face-clip-art-images-sun_smiley_face.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: left | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: Runner_stickman.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: Move | Speed: Slowly | Background Color: (139, 0, 139)
Name: simple_line.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: blue_rectangle.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: left | Animation: Grow | Speed: Quickly | Background Color: (139, 0, 139)
Name: random_polygon.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: None | Speed: None | Background Color: (139, 0, 139)
Name: hexagon.png | Observed Time: 0 | Time Given: 30 | Time Between: 10 | Orientation: right | Animation: Grow | Speed: Quickly | Background Color: (139, 0, 139)
