Name: simple_bird.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: simple_line.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: blue_rectangle.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: random_polygons_2.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: triangle.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: star.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: hexagon.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: smiley-face-clip-art-images-sun_smiley_face.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: circle.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: sad_face.jpeg | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: hexagons_3.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: random_polygon.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: polygon.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: target.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
Name: Runner_stickman.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: right | Animation: None | Speed: None | Background Color: (0, 0, 255)
