Name: random_polygons_2.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: simple_line.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: blue_rectangle.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: random_polygons_2.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: simple_line.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: blue_rectangle.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: triangle.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: random_polygons_2.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: simple_line.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: blue_rectangle.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: triangle.png | Observed Time: 0 | Time Given: 0 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: star.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: hexagon.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
Name: random_polygon.png | Observed Time: 0 | Time Given: 3 | Time Between: 0 | Orientation: left | Animation: None | Speed: None | Background Color: (255, 255, 255)
